Size ,Framed Price,Unframed Price,Framed Weight,Unframed Weight,Mounted Framed Price,Limited Edition Unframed
"A4 - 8.27"" x 11.67""",69,29,200,10,75,69
"A3 - 11.7"" x 16.5""",92,39,200,10,105,99
"A2 - 16.5"" x 23.4""",150,65,200,10,160,160
"20"" x 28"" (50cm x 70cm)",175,80,3000,10,190,170
"A1 - 23.4"" x 33.1""",210,99,3000,10,225,230
"A0 - 33.1"" x 46.8""",310,150,15000,10,330,310
"12"" x 12""",70,32,200,10,80,69
"16"" x 16""",95,55,200,10,110,99
"20"" x 20""",155,80,200,10,170,160
"30"" x 30""",210,95,3000,10,230,230
"6"" x 8""",,21,,10,,39
"12"" x 16""",92,39,200,10,105,99
"18"" x 24""",165,75,200,10,180,160
"24"" x 32""",220,95,3000,10,240,230
"30"" x 40""",280,125,3000,10,300,280
"8"" x 12""",69,29,200,10,75,69
"12"" x 18""",95,39,200,10,110,99
"20"" x 30""",185,85,3000,10,200,220
"24"" x 36""",210,99,3000,10,230,230
"8"" x 10""",69,29,200,10,75,69
"11"" x 14""",92,39,200,10,105,99
"16"" x 20""",150,60,200,10,160,155